"PLOT","Accession","LOC","Year","REP","Block","Design","Trial","Settweight","NPH","Vigor","AUDPC_YMV","rAUDPC_YMV","AUDPC_YAD","rAUDPC_YAD","Yield.per.plot..kg.","TTNPL","TTWPL","Yield_udj","YIELD","ATW","DMC","Oxint180Minutes","OXBI"
1010,"TDr1738071","Ikenne",2020,1,1,"Partial replicated","TFE",NA,1,1,210,0.0175,150,0.0125,0.075,2,0.08,0.25,0.75,0.04,NA,NA,NA
1224,"TDr1741056","Ikenne",2020,1,1,"Partial replicated","TFE",NA,7,3,210,0.0175,150,0.0125,1.12,1.29,0.16,1.4,1.6,0.12,NA,1,NA
139,"TDr1655023","Ibadan",2020,1,7,"Lattice","PPT1",0.74,1,3,315,0.02625,165,0.01375,6.66,1,6.66,13.32,66.6,6.66,32,0,-0.08
25,"TDr1542024","Ubiaja",2020,1,5,"Augmented","APT",0.64,5,2,120,0.01,105,0.00875,3.42,1.4,0.684,6.84,6.84,0.49,30.67,1,0.09
2159,"TDr1716070","Ikenne",2020,2,2,"Partial replicated","TFE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
133,"TDr1618109","Ibadan",2020,1,5,"Lattice","PPT3",0.76,3,2,322.5,0.026875,158.75,0.013229167,5.75,1.3,1.9,11.5,19.17,1.44,22,0,-0.31
1161,"TDr1716060","Ikenne",2020,1,1,"Partial replicated","TFE",NA,4,2,225,0.01875,150,0.0125,0.87,1.25,0.22,1.74,2.18,0.17,NA,NA,NA
2207,"TDr1741065","Ikenne",2020,2,2,"Partial replicated","TFE",NA,3,3,135,0.01125,135,0.01125,1.9,2,0.63,19,6.33,0.32,NA,0,NA
337,"TDr8902665","Ibadan",2020,3,21,"Lattice","PPT1",0.75,3,2,322.5,0.026875,217.5,0.018125,3.62,1.67,1.21,7.24,12.07,0.72,34.67,1,0.14
234,"TDr1620009","Ibadan",2020,2,13,"Lattice","PPT1",0.71,2,3,300,0.025,210,0.0175,13.22,1.5,6.61,26.44,66.1,4.41,28,0,-0.01
1160,"TDr1716035","Ibadan",2020,1,1,"Partial replicated","TFE",NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1214,"TDr1741022","Ikenne",2020,1,1,"Partial replicated","TFE",NA,11,3,210,0.0175,135,0.01125,4.23,1.27,0.38,3.53,3.85,0.3,NA,0,NA
2165,"TDr1716072","Ibadan",2020,2,2,"Partial replicated","TFE",NA,2,2,210,0.0175,NA,NA,1.49,1.5,0.75,4.97,7.45,0.5,30.67,1,0.15
2071,"TDr1739047","Ibadan",2020,2,2,"Partial replicated","TFE",NA,4,2,210,0.0175,NA,NA,0.89,1,0.22,1.78,2.23,0.22,NA,NA,NA
2062,"TDr1739087","Ibadan",2020,2,2,"Partial replicated","TFE",NA,3,2,240,0.02,NA,NA,0.9,1,0.3,1.8,3,0.3,NA,NA,NA
1215,"TDr1741072","Ikenne",2020,1,1,"Partial replicated","TFE",NA,4,2,210,0.0175,150,0.0125,0.31,1,0.08,0.31,0.78,0.08,NA,NA,NA
31,"TDr9519177","Ubiaja",2020,1,7,"Augmented","APT",0.6,2,2,195,0.01625,105,0.00875,11.47,2,5.735,28.68,22.94,2.87,31.33,2,-0.37
2142,"TDr1719090","Ibadan",2020,2,2,"Partial replicated","TFE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1136,"TDr1719039","Ikenne",2020,1,1,"Partial replicated","TFE",NA,3,3,165,0.01375,150,0.0125,2.19,1.33,0.73,5.48,7.3,0.55,NA,0,NA
448,"TDr1780001","Abuja",2020,1,1,"Augmented","SCG",0.45,3,3,180,0.02,190,0.021111111,6.2,1.666666667,2.066666667,39.33,20.67,1.24,NA,NA,NA
423,"TDr1774010","Abuja",2020,1,1,"Augmented","SCG",0.45,2,3,195,0.021666667,187.5,0.020833333,1.1,2,0.55,19.5,5.5,0.28,NA,NA,NA
22,"TDr9518544","Ibadan",2020,1,5,"Augmented","APT",0.72,4,3,318.75,0.0265625,120,0.01,6,1.8,1.5,12,12,0.86,31.33,1,-0.02
100,"TDr1683013AB","Abuja",2020,1,3,"Lattice","PPT4",0.52,3,2,215,0.023888889,155,0.017222222,5.1,1.666666667,1.7,17,17,1.02,35.3,1,0.01
330,"TDr1612105","Ibadan",2020,3,17,"Lattice","PPT2",0.31,4,2,337.5,0.028125,146.25,0.0121875,7.52,1.3,1.9,15.04,18.8,1.5,34,0,-0.02
125,"TDr1689010AB","Ibadan",2020,1,5,"Lattice","PPT2",0.46,5,3,282,0.0235,132,0.011,8.04,2.6,1.6,16.08,16.08,0.62,34.67,1,-0.05
548,"TDr1760021","Abuja",2020,1,3,"Augmented","SCG",0.45,3,NA,220,0.024444444,125,0.013888889,3.6,3.666666667,1.2,12,12,0.33,NA,NA,NA
107,"TDr1686091","Abuja",2020,1,4,"Lattice","PPT4",0.47,1,3,210,0.023333333,135,0.015,3,2,3,30,30,1.5,36.7,1,0.12
335,"TDr1655016","Ibadan",2020,3,20,"Lattice","PPT1",0.74,1,3,300,0.025,120,0.01,5.51,3,5.51,11.02,55.1,1.84,32.67,0,-0.08
1117,"TDr1719028","Ibadan",2020,1,1,"Partial replicated","TFE",NA,2,2,270,0.0225,NA,NA,0.65,1,0.33,1.3,3.25,0.33,NA,NA,NA
2001,"TDr1738096","Ikenne",2020,2,2,"Partial replicated","TFE",NA,5,2,165,0.01375,150,0.0125,1.545,1.2,0.31,1.29,3.09,0.26,NA,1,NA
546,"TDr9518544","Abuja",2020,1,3,"Augmented","SCG",0.33,3,3,250,0.027777778,155,0.017222222,2.6,2,0.866666667,8.67,8.67,0.43,NA,NA,NA
708,"TDr1756046","Abuja",2020,1,6,"Augmented","SCG",0.304,3,3,195,0.021666667,135,0.015,1.8,2.666666667,0.6,6,6,0.23,NA,NA,NA
1194,"TDr1716012","Ikenne",2020,1,1,"Partial replicated","TFE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1154,"TDr1716098","Ikenne",2020,1,1,"Partial replicated","TFE",NA,6,2,240,0.02,165,0.01375,0.86,1,0.14,1.43,1.43,0.14,NA,0,NA
92,"TDr1683055AB","Abuja",2020,1,2,"Lattice","PPT4",0.67,5,3,282,0.031333333,105,0.011666667,11.8,1.2,2.36,23.6,23.6,1.97,38,1,0.12
116,"TDr1680027AB","Abuja",2020,1,6,"Lattice","PPT4",0.66,5,2,213,0.023666667,126,0.014,7.8,1.2,1.56,15.6,15.6,1.3,37.3,1,0.04
1012,"TDr1738050","Ikenne",2020,1,1,"Partial replicated","TFE",NA,4,2,255,0.02125,150,0.0125,0.56,1,0.14,0.62,1.4,0.14,NA,1,NA
625,"TDr1756005","Abuja",2020,1,4,"Augmented","SCG",0.266,3,3,225,0.025,145,0.016111111,2.3,2,0.766666667,7.67,7.67,0.38,NA,NA,NA
